范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER, ,85,1,1,4,26,4
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_magic : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_cblp : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_cp : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_crlc : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_cparhdr : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_minalloc : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_maxalloc : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_ss : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_sp : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_csum : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_ip : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_cs : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_lfarlc : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_ovno : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_res1 : ushort[],94,0,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_oemid : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_oeminfo : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_res2 : ushort[],94,0,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEDOSHEADER,e_lfanew : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY, ,100,1,1,2,16,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,Characteristics : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,TimeDateStamp : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,MajorVersion : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,MinorVersion : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,Name : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,Base : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,NumberOfFunctions : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,NumberOfNames : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,AddressOfFunctions : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,AddressOfNames : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEEXPORTDIRECTORY,AddressOfNameOrdinals : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER, ,100,1,1,2,12,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,Machine : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,NumberOfSections : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,TimeDateStamp : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,PointerToSymbolTable : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,NumberOfSymbols : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,SizeOfOptionalHeader : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEFILEHEADER,Characteristics : ushort,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR, ,100,1,1,2,10,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR,OriginalFirstThunk : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR,TimeDateStamp : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR,ForwarderChain : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR,Name : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEIMPORTDESCRIPTOR,FirstThunk : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGENTHEADERS, ,100,1,1,4,8,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGENTHEADERS,Signature : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGENTHEADERS,FileHeader : IMAGEFILEHEADER,100,0,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGENTHEADERS,OptionalHeader : IMAGEOPTIONALHEADER,100,0,,1,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER, ,100,62,1,1,35,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Magic : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Magic.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Magic.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorLinkerVersion : byte,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorLinkerVersion.get() : byte,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorLinkerVersion.set(byte) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorLinkerVersion : byte,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorLinkerVersion.get() : byte,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorLinkerVersion.set(byte) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfCode : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfCode.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfCode.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfInitializedData : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfInitializedData.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfInitializedData.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfUninitializedData : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfUninitializedData.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfUninitializedData.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,AddressOfEntryPoint : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,AddressOfEntryPoint.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,AddressOfEntryPoint.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfCode : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfCode.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfCode.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfData : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfData.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,BaseOfData.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,ImageBase : ulong,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,ImageBase.get() : ulong,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,ImageBase.set(ulong) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SectionAlignment : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SectionAlignment.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SectionAlignment.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,FileAlignment : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,FileAlignment.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,FileAlignment.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorOperatingSystemVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorOperatingSystemVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorOperatingSystemVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorOperatingSystemVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorOperatingSystemVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorOperatingSystemVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorImageVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorImageVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorImageVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorImageVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorImageVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorImageVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorSubsystemVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorSubsystemVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MajorSubsystemVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorSubsystemVersion : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorSubsystemVersion.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,MinorSubsystemVersion.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Win32VersionValue : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Win32VersionValue.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Win32VersionValue.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfImage : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfImage.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfImage.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeaders : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeaders.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeaders.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,CheckSum : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,CheckSum.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,CheckSum.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Subsystem : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Subsystem.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,Subsystem.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DllCharacteristics : ushort,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DllCharacteristics.get() : ushort,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DllCharacteristics.set(ushort) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackReserve : ulong,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackReserve.get() : ulong,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackReserve.set(ulong) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackCommit : ulong,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackCommit.get() : ulong,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfStackCommit.set(ulong) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapReserve : ulong,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapReserve.get() : ulong,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapReserve.set(ulong) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapCommit : ulong,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapCommit.get() : ulong,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,SizeOfHeapCommit.set(ulong) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,LoaderFlags : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,LoaderFlags.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,LoaderFlags.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,NumberOfRvaAndSizes : uint,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,NumberOfRvaAndSizes.get() : uint,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,NumberOfRvaAndSizes.set(uint) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DataDirectory : IMAGEDATADIRECTORY[],100,2,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DataDirectory.get() : IMAGEDATADIRECTORY[],100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGEOPTIONALHEADER,DataDirectory.set(IMAGEDATADIRECTORY[]) : void,100,1,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDATAENTRY, ,100,1,1,2,9,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDATAENTRY,OffsetToData : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDATAENTRY,Size : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDATAENTRY,CodePage : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDATAENTRY,Reserved : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY, ,100,1,1,2,11,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,Characteristics : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,TimeDateStamp : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,MajorVersion : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,MinorVersion : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,NumberOfNamedEntries : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORY,NumberOfIdEntries : ushort,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORYENTRY, ,100,1,1,2,7,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORYENTRY,NameOrId : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGERESOURCEDIRECTORYENTRY,OffsetToData : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER, ,81,1,1,4,16,3
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,Name : byte[],94,0,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,VirtualSize : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,VirtualAddress : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,SizeOfRawData : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,PointerToRawData : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,PointerToRelocations : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,PointerToLinenumbers : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,NumberOfRelocations : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,NumberOfLinenumbers : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,IMAGESECTIONHEADER,Characteristics : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo, ,95,12,1,0,12,4
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,DllName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,DllName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,DllName.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,FunctionName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,FunctionName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,FunctionName.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,Ordinal : int,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,Ordinal.get() : int,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,Ordinal.set(int) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsOrdinalImport : bool,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsOrdinalImport.get() : bool,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsOrdinalImport.set(bool) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsDelayLoaded : bool,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsDelayLoaded.get() : bool,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,IsDelayLoaded.set(bool) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,OrdinalDisplay : string,94,2,,0,2,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,ImportFunctionInfo,OrdinalDisplay.get() : string,94,1,,0,1,1
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo, ,94,26,1,0,19,12
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,Copyright : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,Copyright.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,Copyright.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CompanyName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CompanyName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CompanyName.set(string) : void,100,1,,0,1,0
