范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno,"WindowsStandardErrnoMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsStandardErrno,"WindowsStandardErrnoMap.get() : Dictionary<long, string>",90,1,,3,5,1
类型,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors, ,57,2,1,3,21435,5
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors,"WindowsSystemErrorsMapEnglish : Dictionary<long, string>",56,0,,1,7137,1
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors,"WindowsSystemErrorsMapSimplifiedChinese : Dictionary<long, string>",56,0,,1,7137,1
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors,"WindowsSystemErrorsMap : Dictionary<long, string>",90,2,,3,7,2
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors,"WindowsSystemErrorsMap.get() : Dictionary<long, string>",90,1,,3,5,1
成员,PersonalTools (Release),PersonalTools.ConstString,WindowsSystemErrors,"WindowsSystemErrorsMapTraditionalChinese : Dictionary<long, string>",56,0,,1,7136,1
命名空间,PersonalTools (Release),PersonalTools.ELFAnalyzer, , ,92,7,1,3,37,6
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer, ,92,7,1,3,34,6
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,Parser : ELFParser,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,Parser.get() : ELFParser,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,ELFAnalyzer(string),93,1,,1,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,ELFAnalyzer(byte[]),93,1,,1,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,GetFormattedVersionSymbolInfo() : string,95,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,GetFormattedVersionDependencyInfo() : string,95,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,GetFormattedVersionDefinitionInfo() : string,95,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer,ELFAnalyzer,GetFormattedNotesInfo() : string,95,1,,2,4,1
命名空间,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core, , ,63,444,1,57,2789,893
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,Dynamic, ,55,9,1,10,35,13
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,Dynamic,"ReadDynamicEntries(ELFParser, BinaryReader, bool) : void",55,9,,10,32,13
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo, ,61,56,1,18,431,117
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,GetFormattedAttributeInfo(ELFParser) : string,60,6,,5,26,10
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"ParseAttributeSection(ELFParser, ELFSectionHeader) : string",45,13,,13,73,30
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,GetAttributeNameByTag(int) : string,82,1,,0,34,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithAttrSingleByteAttribute(byte[], int, StringBuilder, int) : int",80,1,,6,5,2
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithAttrNullTerminatedString(byte[], int, StringBuilder, int) : int",76,1,,5,6,3
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"GetAttributeValueNameByTag(int, byte[], int, StringBuilder) : int",84,1,,1,8,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"ParseAEABIAttributes(byte[], int, int) : string",61,5,,2,24,10
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithSingleByteAttribute(byte[], int, StringBuilder, int) : int",68,2,,4,14,6
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithNullTerminatedString(byte[], int, StringBuilder, int) : int",76,1,,5,6,3
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithLengthPrefixedValue(byte[], int, StringBuilder, int) : int",61,3,,5,17,10
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"DealWithFlagAttribute(StringBuilder, int) : int",82,1,,4,5,2
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"ParseGenericAttributes(byte[], int, int, StringBuilder) : void",63,3,,2,22,6
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"ParseMipsGNUAttributes(ELFParser, byte[], int, int, StringBuilder) : void",47,14,,10,103,24
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,GetTagName(int) : string,80,1,,0,56,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFAttributeInfo,"ReadULEB128(byte[], int, int) : int",64,3,,0,15,8
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFDynamicInfo, ,67,7,1,6,39,13
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFDynamicInfo,GetDynamicTagDescription(ulong) : string,93,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFDynamicInfo,GetDynamicFlagDescription(uint) : string,59,6,,4,31,12
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo, ,47,84,1,18,465,192
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,GetFormattedExidxInfo(ELFParser) : string,60,6,,5,26,10
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,"ParseExidxSection(ELFParser, ELFSectionHeader) : string",38,11,,10,109,49
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,"FindNearestSymbolName(ELFParser, ulong, bool) : string",55,12,,7,38,14
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,"ParseUnwindInstructions(byte[], int, StringBuilder) : void",59,4,,4,36,11
